Student_ID,Student_Name,Total_Lectures,Attended,Percentage
1723,Vasatika Sinha,40,33,82.50%
3142,Nidhi Patla,40,24,60.00%
9870,Max Brar,40,36,90.00%
4539,Anusha Dua,40,36,90.00%
6436,Chakradev Ghose,40,34,85.00%
2652,Balendra Buch,40,27,67.50%
6396,Lila Ramachandran,40,40,100.00%
5858,Niharika Deo,40,35,87.50%
4524,Bakhshi Atwal,40,27,67.50%
8614,Adya Saini,40,40,100.00%
7433,Vasana Krishna,40,32,80.00%
4631,Vasana Gandhi,40,28,70.00%
3108,Hritik Nayar,40,37,92.50%
2183,Rajeshri Lad,40,35,87.50%
4072,Warinder Dalal,40,20,50.00%
4564,Barkha Jaggi,40,38,95.00%
5907,Samuel Bhasin,40,30,75.00%
7325,Ekapad Thaker,40,22,55.00%
1549,Azaan Kulkarni,40,23,57.50%
2999,Gautami Amble,40,24,60.00%
4374,Oscar Halder,40,35,87.50%
7667,Saumya Sabharwal,40,33,82.50%
6340,Falan Nazareth,40,21,52.50%
9752,Deepa Barad,40,23,57.50%
2415,Darsh Pai,40,23,57.50%
6021,Sanaya Dar,40,32,80.00%
4225,Balendra Hayre,40,32,80.00%
