Student_ID,Student_Name,Total_Lectures,Attended,Percentage
2814,Falguni Borah,40,24,60.00%
4868,Ryan Kulkarni,40,21,52.50%
7359,Faras Comar,40,38,95.00%
9328,Fiyaz Hegde,40,36,90.00%
8096,Girish Kar,40,37,92.50%
7486,Vansha Narasimhan,40,29,72.50%
5168,Ikbal Gara,40,29,72.50%
2456,Amol Dara,40,30,75.00%
4721,Oscar Bahri,40,22,55.00%
4806,Suhani Deep,40,22,55.00%
2749,Pallavi Murty,40,21,52.50%
8829,Eiravati Dash,40,37,92.50%
6816,Amara Mistry,40,32,80.00%
9728,Eshana Pall,40,27,67.50%
7955,Bhanumati Khalsa,40,34,85.00%
5970,Hardik Pathak,40,26,65.00%
3314,Laban Parmer,40,29,72.50%
4019,Yashodhara Pandya,40,39,97.50%
6273,David Gade,40,30,75.00%
6549,Kamala Prasad,40,24,60.00%
