Student_ID,Student_Name,Total_Lectures,Attended,Percentage
2744,Gopal Mohan,40,33,82.50%
3426,Om Subramanian,40,27,67.50%
5950,Gaurika Bassi,40,37,92.50%
9950,Omya Bakshi,40,34,85.00%
2755,Falak Parikh,40,34,85.00%
4516,Utkarsh Ahluwalia,40,32,80.00%
9031,Dipta Guha,40,40,100.00%
3326,Netra Sarin,40,29,72.50%
8619,Manbir Sama,40,29,72.50%
6716,Jagdish Rai,40,34,85.00%
2136,Bhavini Guha,40,27,67.50%
9475,Jonathan Madan,40,24,60.00%
1735,Yagnesh Dhar,40,30,75.00%
5533,Adya Halder,40,27,67.50%
7634,Rehaan Shukla,40,25,62.50%
9516,Udyati Soni,40,25,62.50%
4528,Dipta Prabhakar,40,27,67.50%
2988,Inaya Comar,40,24,60.00%
