Student_ID,Student_Name,Total_Lectures,Attended,Percentage
7875,Orinder Bhattacharyya,40,36,90.00%
2740,Brinda Nayak,40,32,80.00%
8515,Yadavi Nadig,40,20,50.00%
1877,Adweta Edwin,40,25,62.50%
1358,Charita Chaudry,40,24,60.00%
5141,Praneel Tak,40,39,97.50%
1808,Udant Nanda,40,20,50.00%
3951,Nirja Raval,40,23,57.50%
4410,Mohammed Lad,40,33,82.50%
8238,Fariq Bassi,40,40,100.00%
6942,Pavani Khurana,40,20,50.00%
7415,Vincent Shroff,40,37,92.50%
2501,Vansha Datta,40,27,67.50%
1950,Bhavya Sen,40,28,70.00%
3657,Geetika Dasgupta,40,32,80.00%
5977,Imaran Rajagopal,40,40,100.00%
9948,Madhav Dani,40,40,100.00%
1623,Udant Sundaram,40,36,90.00%
3445,Yauvani Tailor,40,20,50.00%
8375,Girik Prasad,40,20,50.00%
8867,Max Ramanathan,40,31,77.50%
3669,Jasmit Sachdev,40,21,52.50%
2845,Zayyan Sekhon,40,29,72.50%
4860,Yahvi Kumar,40,30,75.00%
1272,Yahvi Dixit,40,22,55.00%
2539,Keya Apte,40,35,87.50%
