Student_ID,Student_Name,Total_Lectures,Attended,Percentage
6630,Ekaja Lala,40,23,57.50%
6776,Gopal Nagi,40,34,85.00%
2643,Brijesh Rau,40,35,87.50%
1580,Aryan Nazareth,40,34,85.00%
8215,Zinal Sandhu,40,37,92.50%
6004,Jack Varty,40,21,52.50%
7441,Yashasvi Deshpande,40,24,60.00%
6946,Dakshesh Iyengar,40,23,57.50%
7949,Devika Yogi,40,30,75.00%
7955,Hema Sangha,40,25,62.50%
6989,Xalak Ranganathan,40,40,100.00%
4182,Indira Ratta,40,28,70.00%
3674,Vritti Peri,40,30,75.00%
5007,Chakradhar Kulkarni,40,33,82.50%
6682,Mugdha Bail,40,25,62.50%
9019,Omaja Behl,40,21,52.50%
1732,Lavanya Hari,40,35,87.50%
4102,Aarush Date,40,39,97.50%
5620,Yatan Doctor,40,26,65.00%
3409,Ojas Oak,40,22,55.00%
3749,Divya Jain,40,40,100.00%
2482,Ekapad Dutta,40,30,75.00%
3777,Charan Mutti,40,29,72.50%
7768,Tanvi Choudhury,40,32,80.00%
5724,Shivani Kumer,40,35,87.50%
2365,Forum Vora,40,29,72.50%
7179,Mahika Koshy,40,30,75.00%
1912,Samesh Sunder,40,23,57.50%
2919,Tanay Baral,40,23,57.50%
9966,Saumya Lad,40,23,57.50%
3338,Hemal Jain,40,35,87.50%
8479,Indali Sachdev,40,22,55.00%
1909,Gautam Gole,40,32,80.00%
8724,Simon Ray,40,24,60.00%
3013,Aadi Zachariah,40,24,60.00%
5378,Sarthak Bhasin,40,30,75.00%
3494,Yashodhara Hora,40,32,80.00%
9415,Pushti Khosla,40,28,70.00%
2418,Ekbal Walla,40,33,82.50%
6363,Chaitanya Bera,40,39,97.50%
1998,Turvi Tiwari,40,34,85.00%
1251,Neel Bhasin,40,28,70.00%
5538,Urvashi Anne,40,26,65.00%
8977,Dominic Gupta,40,28,70.00%
1612,Shivani Yadav,40,35,87.50%
1619,Megha Barad,40,37,92.50%
7005,Ishita Lala,40,38,95.00%
8076,Arin Bose,40,27,67.50%
6104,Omisha Ahuja,40,34,85.00%
