Seat_No,Student_Name,Subject_1,Subject_2,Subject_3,Total,Result
S2601480,Harshil Balakrishnan,50,64,53,167,PASS
S1725007,Gabriel Shankar,89,45,48,182,PASS
S9230750,Ekaja Chowdhury,55,46,91,192,PASS
S6420257,Odika Manda,75,52,49,176,PASS
S8654390,Ridhi Iyengar,88,82,65,235,PASS
S2973385,Yoshita Sundaram,43,83,97,223,PASS
S5931718,Priya Goswami,68,53,57,178,PASS
S3367439,Laksh Kalita,41,90,83,214,PASS
S3208391,Xavier Lad,87,96,82,265,PASS
S2119222,Qadim Seshadri,55,72,54,181,PASS
S2013593,Geetika Mohanty,51,58,81,190,PASS
S0572295,Alka Purohit,99,42,55,196,PASS
S2795875,Alka Dutta,76,52,48,176,PASS
S4818310,Turvi Nayak,83,41,49,173,PASS
S7104429,Damini Dar,77,46,84,207,PASS
S5437043,Varsha Vig,79,49,61,189,PASS
S1196865,Bakhshi Lanka,76,72,58,206,PASS
S6591919,Nidhi Sekhon,63,73,53,189,PASS
S9492990,Lajita Pillai,84,99,50,233,PASS
S6624700,Gaurav Varughese,66,76,51,193,PASS
S1737995,Laksh Natt,87,91,94,272,PASS
S2336136,Ayushman Thaker,47,81,46,174,PASS
S0436425,Max Bajwa,93,41,95,229,PASS
S7691985,Wishi Varghese,63,80,65,208,PASS
S7958269,Tara Sethi,54,60,90,204,PASS
S2129329,Finn Patil,42,48,42,132,PASS
S1898761,Vasudha Buch,90,58,40,188,PASS
S4596240,Yadavi Keer,41,45,97,183,PASS
S0506779,Gopal Ganguly,98,79,50,227,PASS
S9073873,Ganga Sahota,46,62,45,153,PASS
S1623175,Warjas Dara,93,78,89,260,PASS
S0459046,Darika Vasa,60,95,86,241,PASS
S6538934,Isha Chander,69,87,85,241,PASS
S0226935,Yauvani Shetty,75,81,51,207,PASS
S6572008,Qabil Ratta,98,58,92,248,PASS
S6028114,Wridesh Dua,83,67,72,222,PASS
S5694953,Timothy Sharma,83,52,57,192,PASS
S2342797,Mugdha Zachariah,49,74,60,183,PASS
S5163773,Pallavi Natarajan,57,45,66,168,PASS
S6501393,Janya Vaidya,42,88,97,227,PASS
S9037876,Arjun Kari,80,45,91,216,PASS
S5352762,Bahadurjit Muni,81,68,58,207,PASS
S1134885,Om Uppal,49,44,81,174,PASS
S1306157,Anusha Goel,60,66,97,223,PASS
S2982440,Hardik Sahni,69,50,40,159,PASS
