Seat_No,Student_Name,Subject_1,Subject_2,Subject_3,Total,Result
S7051188,Girindra Nadig,78,83,74,235,PASS
S0336277,Bhavna Garg,75,80,55,210,PASS
S5485296,Frederick Narang,99,58,90,247,PASS
S9494582,Isha Bhalla,87,59,90,236,PASS
S3322798,Gunbir Dewan,93,69,53,215,PASS
S0143253,Indrajit Sridhar,73,72,89,234,PASS
S8412018,Bahadurjit Dhingra,68,90,40,198,PASS
S3164459,Dalbir Borah,50,98,82,230,PASS
S4194127,Ayushman Malhotra,99,88,68,255,PASS
S1186853,Chaitaly Edwin,100,92,69,261,PASS
S7141976,Bhavna D’Alia,66,49,92,207,PASS
S6060315,Pavani Buch,72,69,49,190,PASS
S0654075,Harita Chakraborty,57,59,77,193,PASS
S8836685,Shaurya Subramaniam,74,75,71,220,PASS
S3592134,Farhan Bhavsar,75,52,55,182,PASS
S2539096,Hemangini Verma,64,77,55,196,PASS
S1323558,Laban Chatterjee,43,71,88,202,PASS
S0490995,Wishi Sheth,95,87,45,227,PASS
S3014700,Pavani Tara,80,95,66,241,PASS
S5863933,Onveer Yadav,96,48,91,235,PASS
S5614560,Rachita Som,85,85,77,247,PASS
S7454571,Deepa Chakrabarti,93,44,60,197,PASS
S3797699,Falak Loke,84,75,74,233,PASS
S4831955,Matthew Manda,84,87,49,220,PASS
S6105012,Naksh Khanna,67,99,62,228,PASS
S3593213,Upkaar Iyengar,91,94,91,276,PASS
S1029497,Peter Kohli,51,45,77,173,PASS
S0171154,Faris Amble,71,71,66,208,PASS
S4519247,Girindra Karnik,89,64,79,232,PASS
S9734107,Jasmit Mody,42,73,84,199,PASS
S7160660,Tanish Luthra,93,49,53,195,PASS
S0212456,Chaitaly Gour,100,47,46,193,PASS
S9603475,Kashish Palla,99,90,77,266,PASS
S3614974,Aahana Goyal,61,100,90,251,PASS
S0514582,Gaurang Srivastava,91,60,58,209,PASS
S8329581,Wridesh Narula,76,55,46,177,PASS
S2884092,Ria Boase,41,68,91,200,PASS
