Seat_No,Student_Name,Subject_1,Subject_2,Subject_3,Total,Result
S6103609,Kalpit Kala,43,87,51,181,PASS
S1393123,Shivani Saraf,43,78,99,220,PASS
S3408321,Anirudh Kanda,82,57,64,203,PASS
S8671453,Bhavika Memon,99,58,99,256,PASS
S1026387,Girik Goswami,79,68,56,203,PASS
S1291167,Fariq Srinivas,96,60,85,241,PASS
S2426120,Yauvani Kade,71,43,79,193,PASS
S9581721,Avi Kamdar,58,50,76,184,PASS
S4091468,Fariq Mane,51,75,63,189,PASS
S4593293,Lakshit Keer,46,100,87,233,PASS
S6612715,Vihaan Varma,91,82,69,242,PASS
S9492823,Aditya Baria,83,99,99,281,PASS
S8348514,Lajita Hayer,62,88,82,232,PASS
S3207646,Tanveer Agarwal,65,99,69,233,PASS
