Seat_No,Student_Name,Subject_1,Subject_2,Subject_3,Total,Result
S5984379,Arunima Sem,61,70,43,174,PASS
S2467808,Tarak Walia,74,61,80,215,PASS
S7667374,Gunbir Bahl,82,52,41,175,PASS
S2038570,Ijaya Parsa,51,56,73,180,PASS
S5050251,Devansh Saini,59,88,66,213,PASS
S6037417,Hitesh Keer,78,53,88,219,PASS
S8793016,Forum Dar,96,46,64,206,PASS
S3447420,Sai Varty,77,64,45,186,PASS
S7494646,Urishilla Wali,74,60,67,201,PASS
S9888459,Hema Rout,49,99,97,245,PASS
S3930508,Elijah Pandya,72,74,79,225,PASS
S6792551,Ekansh Kumar,85,69,90,244,PASS
S8387316,Rehaan Karan,99,56,55,210,PASS
S0949761,Triveni Balan,71,57,78,206,PASS
S0460183,Arin Pillay,40,69,66,175,PASS
S0473968,Balvan Chokshi,95,91,66,252,PASS
S5745911,Bimala Sani,94,67,96,257,PASS
S9740236,Yatin Narang,81,88,72,241,PASS
S8888736,Arunima Karnik,91,58,72,221,PASS
S1295051,Harish Badami,71,71,70,212,PASS
S7046377,Harshil Aggarwal,95,83,62,240,PASS
S1676160,Vidhi Mukherjee,42,88,72,202,PASS
S8220754,Wazir Nadig,51,97,81,229,PASS
S1347326,Dayita Batta,84,73,50,207,PASS
S6213942,Manya Wali,53,52,40,145,PASS
S4636095,Zaid Chahal,44,80,59,183,PASS
S3394059,Dev Radhakrishnan,77,41,58,176,PASS
S7343039,Charan Pau,42,48,71,161,PASS
S0009803,Brijesh Sachdeva,46,69,90,205,PASS
