Seat_No,Student_Name,Subject_1,Subject_2,Subject_3,Total,Result
S7462025,Anika Rai,46,99,79,224,PASS
S6640019,Pranav Cherian,77,61,58,196,PASS
S5885899,Rohan Rajan,80,55,58,193,PASS
S6059383,Nathan Bajwa,65,91,88,244,PASS
S9609021,Advaith Comar,97,90,51,238,PASS
S8026595,Vivaan Rau,54,60,40,154,PASS
S1339510,Megha Joshi,100,92,54,246,PASS
S4148331,Wahab Madan,83,76,70,229,PASS
S6864934,Hamsini Saha,79,58,69,206,PASS
S8258010,Pooja Goda,45,87,58,190,PASS
S5344057,Suhani Hegde,48,72,68,188,PASS
S7071914,Veer Dass,90,82,50,222,PASS
S7061879,Kai Reddy,81,76,54,211,PASS
S8889858,Sachi Ratti,97,79,76,252,PASS
S7136365,Lakshmi Bains,84,65,97,246,PASS
S8835036,Damini Dhaliwal,64,84,74,222,PASS
S2331391,Amruta Sachdeva,47,84,55,186,PASS
S6711629,Yochana Raghavan,82,81,65,228,PASS
S0178775,Caleb Soni,79,51,77,207,PASS
S3748640,Pushti Manda,76,62,78,216,PASS
S0869768,Samaksh Mitter,40,83,40,163,PASS
S5192025,Harrison Dugal,46,70,73,189,PASS
S5264910,Unni Amble,83,99,90,272,PASS
S6870864,Urvi Dhar,45,43,79,167,PASS
S6282033,Aayush Boase,85,71,48,204,PASS
S4639044,Jhalak Nadig,95,67,48,210,PASS
S9650366,Benjamin Dhillon,55,77,93,225,PASS
S1268671,Yagnesh Arora,60,53,49,162,PASS
S4413969,Anvi Gala,65,67,100,232,PASS
S0745628,Oliver Purohit,74,54,51,179,PASS
S2478730,Ekavir Raju,100,68,88,256,PASS
S5851106,Laban Arora,57,97,52,206,PASS
S5239531,Gunbir Oak,80,63,98,241,PASS
S0775446,Sudiksha Parmar,100,47,64,211,PASS
S2297905,Dipta Balasubramanian,81,56,97,234,PASS
S3679815,Vidhi Suri,88,94,92,274,PASS
S2750992,Mitesh Anne,43,66,76,185,PASS
S6219411,Upasna Soni,85,86,75,246,PASS
S6635511,Anay Chakraborty,69,94,78,241,PASS
S0525046,Joshua Vyas,94,82,94,270,PASS
S1615065,Alka Randhawa,85,49,78,212,PASS
