Seat_No,Student_Name,Subject_1,Subject_2,Subject_3,Total,Result
S2386634,Eesha Manne,96,91,54,241,PASS
S3988404,Chakradev Sankar,58,88,49,195,PASS
S0927192,Manya Palla,89,87,83,259,PASS
S2240454,Indali Yadav,100,56,53,209,PASS
S4182242,Akshay Shah,50,100,93,243,PASS
S8711877,Peter Hans,47,67,41,155,PASS
S1638620,Michael Kar,49,86,51,186,PASS
S5647235,Varenya Banerjee,82,40,82,204,PASS
S0539713,Ekapad Rai,93,90,50,233,PASS
S9406133,Nachiket Hans,87,84,41,212,PASS
S8763396,Urvi Gara,100,70,43,213,PASS
S9124910,Bhanumati Chandran,57,55,42,154,PASS
S2811346,Arya Chahal,43,87,65,195,PASS
S8253014,Amara Baria,88,80,47,215,PASS
S6250220,Ridhi Patla,69,85,65,219,PASS
S7146453,Chaitanya Varghese,46,72,71,189,PASS
S8852440,Upadhriti Srivastava,62,71,58,191,PASS
S8087743,Maanas Shetty,94,41,63,198,PASS
S1861852,Anmol Kari,63,81,70,214,PASS
S9613436,Triveni Chakrabarti,60,42,93,195,PASS
S0859936,Waida Randhawa,53,89,75,217,PASS
S1199270,Lipika Boase,46,96,95,237,PASS
S0301648,Kala Wable,57,59,96,212,PASS
S1305788,Chakradhar Mittal,76,84,59,219,PASS
S8514364,Amol Chana,100,70,67,237,PASS
S3796776,Siddharth Goswami,49,47,80,176,PASS
S6085211,Mason Ram,58,83,68,209,PASS
S3758918,Pranit Bhakta,73,62,52,187,PASS
S0279143,Samaksh Sehgal,41,85,90,216,PASS
S9628219,Dominic Halder,54,64,40,158,PASS
S0891651,Shivani Menon,88,69,78,235,PASS
S5457033,Rayaan Gokhale,49,80,67,196,PASS
S8207513,Utkarsh Rastogi,78,78,68,224,PASS
S4267314,Meghana Narasimhan,88,43,97,228,PASS
S6930733,Rishi Jhaveri,42,64,89,195,PASS
S7946132,Janani Kibe,58,56,41,155,PASS
S4986310,Eiravati Patil,47,56,81,184,PASS
