Seat_No,Student_Name,Subject_1,Subject_2,Subject_3,Total,Result
S5224347,Brijesh Koshy,85,71,67,223,PASS
S8441679,Warjas Rajagopalan,88,95,44,227,PASS
S7489135,Frederick Kashyap,60,79,86,225,PASS
S0226418,Mohini Char,61,51,65,177,PASS
S7486832,Inaya Dayal,54,42,41,137,PASS
S8709903,Rachana Varkey,97,56,50,203,PASS
S1033503,Kashvi Salvi,50,62,52,164,PASS
S3829254,Abhimanyu Bandi,93,70,98,261,PASS
S5377699,Tamanna Borde,42,60,93,195,PASS
S4192831,Ikbal Kibe,73,67,80,220,PASS
S4801046,Kai Vasa,63,64,68,195,PASS
S9343624,Daniel Murthy,56,95,65,216,PASS
S6957620,Gabriel Varghese,97,87,93,277,PASS
S2955748,George Vasa,98,93,93,284,PASS
S9617313,Amol Goel,87,90,72,249,PASS
S2126585,Isaiah Krishna,79,54,84,217,PASS
S1034335,Anirudh Sachar,50,58,95,203,PASS
S9281094,Anika Puri,67,41,86,194,PASS
S6331799,Girish Saha,44,62,61,167,PASS
S7709134,Bishakha Baral,52,81,49,182,PASS
S2859020,Yochana Raj,92,67,69,228,PASS
S3329655,Nikita Basak,96,81,74,251,PASS
S9611705,Triveni Lal,76,54,55,185,PASS
S6595253,Jack Kota,55,91,70,216,PASS
S0250508,Leena Kade,60,85,75,220,PASS
S0290276,Aahana Balay,87,57,57,201,PASS
