Seat_No,Student_Name,Subject_1,Subject_2,Subject_3,Total,Result
S3938732,Kashish Kalita,82,83,70,235,PASS
S2169143,Aarav Sunder,90,93,96,279,PASS
S1357558,Arin Hayre,78,59,43,180,PASS
S8101269,Gaurang Chowdhury,98,61,78,237,PASS
S1181408,Sathvik Chaudhry,85,99,57,241,PASS
S5142222,Tanveer Mani,92,64,65,221,PASS
S2925774,Lila Walia,52,47,85,184,PASS
S8255958,Siya Roy,66,44,74,184,PASS
S1259435,Ishaan Chokshi,48,94,61,203,PASS
S1985994,Xiti Dhawan,63,42,75,180,PASS
S5681526,Nisha Nayak,71,88,52,211,PASS
