Seat_No,Student_Name,Subject_1,Subject_2,Subject_3,Total,Result
S5578648,Jairaj Tella,100,77,58,235,PASS
S9297798,Osha Hari,90,99,72,261,PASS
S6107887,Luke Chandran,92,65,80,237,PASS
S2653431,Radha Mittal,84,82,52,218,PASS
S6464212,Omkaar Gera,83,89,74,246,PASS
S2307424,Nathan Sur,65,62,76,203,PASS
S2616280,Janaki Dar,43,54,82,179,PASS
S5190835,Elijah Nagar,67,79,93,239,PASS
S8664506,Saksham Raju,93,72,82,247,PASS
S8593578,Kala Saran,74,80,79,233,PASS
S5329365,Eshana Chahal,59,52,65,176,PASS
S6819600,William Parmar,54,47,99,200,PASS
S8467483,Chanchal Rout,52,46,79,177,PASS
S5976646,Ishita Jhaveri,51,83,64,198,PASS
S4483281,Yagnesh Nagarajan,96,84,67,247,PASS
S5437206,Caleb Radhakrishnan,50,85,71,206,PASS
S7924436,Anya Murthy,99,70,75,244,PASS
S7612942,Radhika Mallick,72,62,57,191,PASS
S8134064,Ishanvi Chaudhuri,71,45,96,212,PASS
S2104660,Vritti Chokshi,100,61,93,254,PASS
S2947946,Jacob Sem,82,40,91,213,PASS
S8639695,Sudiksha Vaidya,88,61,98,247,PASS
S3923078,Bina Dixit,45,78,93,216,PASS
S7119133,Kashvi Jha,47,54,52,153,PASS
S5905496,Imaran Kala,40,61,53,154,PASS
S8825617,Harini Yadav,82,86,72,240,PASS
S8913107,Harini Ganesan,80,80,91,251,PASS
S4885599,Gabriel Dewan,94,65,91,250,PASS
S6967878,Pranav Gulati,55,88,79,222,PASS
S5124296,Neha Tripathi,73,73,64,210,PASS
S9063780,Simon Sant,97,51,60,208,PASS
S1650760,Dominic Batra,49,63,63,175,PASS
S4960104,Anvi Puri,72,56,80,208,PASS
S9778321,Chakradev Kata,53,80,75,208,PASS
S0584613,Yashasvi Ben,92,49,89,230,PASS
S9392416,Simon Solanki,78,97,87,262,PASS
S8219248,Upadhriti Ramesh,54,86,79,219,PASS
S6578467,Dalbir D’Alia,40,40,100,180,PASS
S6484429,Jackson Narasimhan,66,48,71,185,PASS
S0124712,Libni Kumar,82,68,47,197,PASS
S3764678,Chasmum Mander,79,77,100,256,PASS
S0447889,Janani Dyal,92,92,46,230,PASS
S0720997,Ayushman Murty,45,70,93,208,PASS
S4780967,Janani Chaudhry,40,91,100,231,PASS
S0212724,Yashawini Radhakrishnan,70,64,95,229,PASS
S7901646,Jason Narain,49,64,79,192,PASS
