Receipt_No,Student_Name,Amount_Paid,Date,Payment_Mode
REC-91172,Fiyaz Gupta,15000,2026-01-01,UPI
REC-35280,Ansh Kota,25000,2026-01-17,Cheque
REC-03748,Vedant Rana,50000,2026-01-04,Cheque
REC-40647,Harshil Das,15000,2026-01-16,Cheque
REC-37527,Rushil Brahmbhatt,75000,2026-01-21,Cash
REC-32693,Pavani Vala,15000,2026-01-25,Cash
REC-58086,Nitara Kohli,15000,2026-01-07,UPI
REC-48856,Aarini Balasubramanian,25000,2026-01-01,Cash
REC-78509,Om Samra,15000,2026-01-06,Cheque
REC-49605,Ekta De,15000,2026-01-02,Cash
REC-93626,Vritti Sethi,75000,2026-01-21,DD
REC-11389,Zaitra Kadakia,50000,2026-01-25,Cheque
REC-00963,Chandresh Vaidya,15000,2026-01-01,Cash
REC-93669,Qabil Basu,50000,2026-01-20,DD
REC-90809,Amara Rau,75000,2026-01-03,Cash
REC-88448,Arin Savant,75000,2026-01-03,Cash
REC-99555,Imaran Biswas,15000,2026-01-06,UPI
REC-28308,Umang Raval,25000,2026-01-17,Cash
REC-17051,Lakshit Jhaveri,75000,2026-01-04,Cash
REC-02231,Pushti Mann,75000,2026-01-20,Cheque
REC-77266,Laksh Yohannan,25000,2026-01-23,Cheque
REC-80323,Lohit Halder,25000,2026-01-16,Cheque
REC-79544,Bina Tailor,25000,2026-01-06,DD
REC-11372,Agastya Reddy,15000,2026-01-23,Cash
REC-42312,Hritik Madan,75000,2026-01-11,Cheque
REC-57989,Mugdha Pillay,25000,2026-01-16,DD
REC-87268,Harsh Setty,75000,2026-01-20,Cash
