Receipt_No,Student_Name,Amount_Paid,Date,Payment_Mode
REC-64160,Aishani Kamdar,25000,2026-01-19,UPI
REC-75351,Ucchal Sunder,50000,2026-01-12,Cash
REC-98837,Harsh Balakrishnan,50000,2026-01-25,UPI
REC-89766,Parth Ratti,50000,2026-01-20,Cheque
REC-50491,Krishna Shenoy,75000,2026-01-04,Cash
REC-09026,Eiravati Varughese,15000,2026-01-13,UPI
REC-26358,Brinda Tak,15000,2026-01-24,DD
REC-05698,Qasim Bera,25000,2026-01-08,Cash
REC-79185,Vasana Taneja,75000,2026-01-07,DD
REC-42344,Avi Divan,15000,2026-01-18,DD
REC-91494,Advika Rajagopalan,25000,2026-01-09,Cash
REC-67171,Dalaja Ravi,25000,2026-01-08,DD
REC-76375,Amaira Dani,15000,2026-01-15,Cheque
REC-33598,Fiyaz Sangha,75000,2026-01-21,UPI
REC-43258,Urmi Kade,75000,2026-01-20,Cheque
REC-47057,Udyati Chowdhury,15000,2026-01-24,Cash
REC-16134,Yagnesh Saini,75000,2026-01-09,Cheque
REC-85143,Daniel Chander,25000,2026-01-14,Cash
REC-21358,Indali Khurana,25000,2026-01-16,Cash
REC-61697,Vidhi Apte,15000,2026-01-25,Cheque
REC-52618,Daksh Talwar,50000,2026-01-09,DD
REC-29506,Upasna Bedi,75000,2026-01-26,Cash
REC-78180,Tara Prakash,15000,2026-01-17,DD
REC-30050,Unni Rajagopalan,50000,2026-01-26,UPI
REC-86836,Harita Purohit,25000,2026-01-01,Cheque
REC-21705,Amrita Mann,50000,2026-01-20,Cash
REC-47219,Udyati Ramakrishnan,25000,2026-01-07,Cash
REC-75570,Ayush Deshpande,15000,2026-01-12,Cash
REC-31752,Xiti Jhaveri,50000,2026-01-22,Cash
REC-08442,Tejas Chaudhuri,15000,2026-01-10,UPI
REC-55067,Omisha Gandhi,75000,2026-01-10,DD
REC-98081,Hiral Lalla,25000,2026-01-17,Cash
REC-28013,Quincy Magar,75000,2026-01-25,UPI
REC-77606,Jagvi Natarajan,25000,2026-01-22,UPI
REC-56056,Faraj Gara,15000,2026-01-21,Cheque
REC-84855,Farhan Natt,50000,2026-01-08,UPI
REC-32489,Naveen Palla,75000,2026-01-26,UPI
REC-23533,Umang Grover,75000,2026-01-10,Cash
REC-83246,Qadim Sane,50000,2026-01-08,Cheque
REC-85463,Lekha Vasa,50000,2026-01-13,UPI
REC-95711,Siya Swaminathan,50000,2026-01-13,DD
REC-52470,Caleb Palla,25000,2026-01-17,Cheque
