Receipt_No,Student_Name,Amount_Paid,Date,Payment_Mode
REC-06983,Nandini Narayan,25000,2026-01-11,DD
REC-17469,Yashasvi Mistry,25000,2026-01-11,UPI
REC-89539,Viraj Rattan,50000,2026-01-22,DD
REC-55141,Bachittar Sastry,75000,2026-01-09,UPI
REC-12483,Bimala Vasa,75000,2026-01-26,Cheque
REC-27497,Indira Sami,75000,2026-01-16,Cheque
REC-77755,Joshua Sidhu,75000,2026-01-14,UPI
REC-40718,Jhalak Muni,50000,2026-01-10,Cash
REC-16217,Jackson Joshi,50000,2026-01-25,DD
REC-95193,Henry Seth,25000,2026-01-14,UPI
REC-47960,Elijah Yogi,75000,2026-01-12,UPI
REC-49995,Naveen Varty,15000,2026-01-25,UPI
REC-34986,Eshana Mani,15000,2026-01-21,Cheque
REC-08724,Tanay Sachdev,15000,2026-01-17,DD
REC-19442,Kritika Nath,75000,2026-01-01,DD
REC-54258,Oeshi Pradhan,25000,2026-01-03,Cash
REC-93476,Chaitaly Krishnan,50000,2026-01-04,DD
REC-91097,Finn Venkataraman,50000,2026-01-18,DD
REC-55564,Zinal Mander,50000,2026-01-18,Cheque
REC-96563,Raksha Bala,75000,2026-01-11,UPI
REC-49356,Kamala Wason,25000,2026-01-16,Cheque
REC-20761,Tanmayi Palla,15000,2026-01-01,Cheque
REC-01027,Balvan Sachdeva,25000,2026-01-12,Cheque
REC-02472,Turvi Divan,75000,2026-01-18,DD
REC-38690,Quincy Sastry,50000,2026-01-11,Cheque
REC-65685,Dalaja Zachariah,75000,2026-01-01,Cash
REC-58676,Aachal Mody,25000,2026-01-06,Cash
REC-75515,Samesh Basak,25000,2026-01-04,Cash
REC-50619,Devika Nagar,75000,2026-01-05,Cheque
REC-45884,Zayan Sabharwal,25000,2026-01-16,DD
REC-76778,Yuvraj Balan,75000,2026-01-10,Cash
REC-91715,Amaira Char,75000,2026-01-15,UPI
REC-56915,Samarth Divan,15000,2026-01-21,DD
REC-33404,Owen Mallick,15000,2026-01-09,UPI
REC-57192,Radhika Bhatia,50000,2026-01-26,Cash
REC-68081,Mitesh Viswanathan,25000,2026-01-06,Cash
REC-95982,Mohini Tata,25000,2026-01-08,Cheque
REC-70587,Abha Ratta,25000,2026-01-01,UPI
REC-64043,Ranveer Upadhyay,50000,2026-01-08,Cash
