Roll_No,Student_Name,Department,Year,Email,Phone
E&T384,Garima Bhatnagar,E&TC Engineering,BE,pooja40@example.org,9975894820
E&T114,Garima Lanka,E&TC Engineering,TE,charitadyal@example.com,6536452533
E&T206,Aahana Kara,E&TC Engineering,FE,jeevikabatra@example.com,3282729041
E&T386,Harrison Patla,E&TC Engineering,TE,abal@example.net,+911467962909
E&T608,Indira Dalal,E&TC Engineering,FE,chaudhrymegha@example.net,8757013524
E&T112,Utkarsh Sarkar,E&TC Engineering,BE,nihalvig@example.com,08628062498
E&T710,Widisha Acharya,E&TC Engineering,TE,ishanvi60@example.net,+911604879176
E&T437,Faris Buch,E&TC Engineering,FE,ishitamuni@example.org,8429498059
E&T381,Joshua Salvi,E&TC Engineering,BE,rbhatt@example.org,05954445999
E&T981,Yatin Venkataraman,E&TC Engineering,SE,hemangkar@example.net,07087855059
E&T241,Damyanti Sarma,E&TC Engineering,SE,aramakrishnan@example.com,00089201157
E&T256,Ladli Minhas,E&TC Engineering,SE,jmadan@example.com,3079323943
E&T465,Indali Kashyap,E&TC Engineering,TE,jtella@example.org,6187790175
E&T915,Sarthak Natt,E&TC Engineering,FE,gmani@example.net,5052876421
E&T725,Rajata Sarraf,E&TC Engineering,BE,widisha04@example.org,+912182371056
E&T864,Onkar Kalita,E&TC Engineering,FE,balvan80@example.com,+911459818240
E&T285,Forum Arya,E&TC Engineering,BE,advika80@example.com,+914094053640
E&T933,Jagvi Sawhney,E&TC Engineering,BE,ukeer@example.org,5736598755
E&T373,Laksh Kamdar,E&TC Engineering,FE,raghav62@example.com,01674970900
E&T685,Aarav Nori,E&TC Engineering,FE,hmaster@example.net,3673394045
E&T424,Dalbir Tank,E&TC Engineering,BE,gangulypeter@example.com,0520423270
E&T952,Om Pall,E&TC Engineering,BE,vyanjana69@example.net,+912895741195
E&T501,Chasmum Mistry,E&TC Engineering,TE,finn81@example.net,01879520293
E&T939,Om Buch,E&TC Engineering,FE,aarnav70@example.org,06575063536
