Roll_No,Student_Name,Department,Year,Email,Phone
PRI579,Isha Bajwa,Principal's Office,BE,maanavnigam@example.org,+915952152658
PRI560,Hamsini Bhatti,Principal's Office,BE,hrana@example.org,3418163851
PRI996,Urmi Ravel,Principal's Office,FE,forumchada@example.net,0670820893
PRI566,Harrison Khosla,Principal's Office,SE,lchadha@example.net,+910040253721
PRI915,Gauri Karnik,Principal's Office,BE,luthraqadim@example.com,07494226414
PRI163,Damini Batta,Principal's Office,SE,kaibhargava@example.net,+913004547491
PRI619,Utkarsh Bera,Principal's Office,SE,bachittarsunder@example.net,3616717879
PRI191,Xiti Choudhry,Principal's Office,BE,anirudh72@example.org,+914712250669
PRI186,Unnati Ahuja,Principal's Office,SE,garimamanda@example.net,05307706022
PRI884,Yashodhara Dewan,Principal's Office,BE,osarraf@example.com,+917339868287
PRI998,Rohan Kuruvilla,Principal's Office,TE,lsehgal@example.org,+918137719470
PRI798,Abhiram Rau,Principal's Office,BE,jsura@example.org,6349980331
PRI675,Praneel Bava,Principal's Office,TE,kala19@example.com,9142020752
PRI214,Yug Basu,Principal's Office,SE,fandra@example.org,+910544319097
PRI702,Anusha Gala,Principal's Office,BE,choudhuryikshita@example.net,07553307549
PRI515,Chandran Manda,Principal's Office,BE,onikarpe@example.com,5928944098
PRI238,Brijesh Vora,Principal's Office,FE,omitter@example.org,6993920912
PRI992,Pavani Bhatnagar,Principal's Office,FE,zilmilbasak@example.org,01731621596
PRI967,Jagdish Atwal,Principal's Office,TE,paujanani@example.org,00825220346
PRI104,Bachittar Shenoy,Principal's Office,SE,rattakevin@example.net,+918354728338
PRI530,Omkaar Dave,Principal's Office,TE,ayushkonda@example.org,+911590017623
PRI831,Vasana Chandran,Principal's Office,SE,ksampath@example.net,08445921166
PRI820,Ekavir Dyal,Principal's Office,TE,frado15@example.org,+916474912060
PRI329,Balendra Peri,Principal's Office,FE,bachittarlad@example.org,+917006415381
PRI973,Xiti Wagle,Principal's Office,BE,ibabu@example.org,+913707225602
PRI977,Anvi Loyal,Principal's Office,BE,gangajoshi@example.net,+918445910913
PRI169,Victor Dhaliwal,Principal's Office,FE,etachoudhury@example.net,05673288795
PRI393,Ikshita Narayanan,Principal's Office,BE,rdixit@example.com,7259050128
PRI419,Girindra Chhabra,Principal's Office,TE,chaudharyvansha@example.net,03850725886
PRI390,Ranveer Bansal,Principal's Office,FE,diptacheema@example.net,+911362078511
PRI848,Henry Ghosh,Principal's Office,BE,blanka@example.org,1219624764
