Roll_No,Student_Name,Department,Year,Email,Phone
STU929,Simon Jaggi,Student Section,BE,kritikakhosla@example.com,00772435722
STU774,Ekaraj Gala,Student Section,BE,omaja70@example.com,+915882779194
STU561,Atharv Chowdhury,Student Section,BE,urvi73@example.org,5939433390
STU514,Ekavir Bhattacharyya,Student Section,BE,rohanseth@example.org,5284300783
STU495,Leena Suri,Student Section,TE,zsalvi@example.org,02526105672
STU777,Jackson Bala,Student Section,FE,harinigara@example.net,00104936224
STU526,Madhavi Ahuja,Student Section,SE,prishawarrior@example.org,+913097189461
STU640,Jalsa Ben,Student Section,BE,hbumb@example.com,+915522953594
STU793,Tejas Chanda,Student Section,SE,deepa60@example.com,+913330854084
STU727,Balveer Choudhury,Student Section,SE,peterhayre@example.org,5652716537
STU691,Bhavini Thakkar,Student Section,BE,victor41@example.com,04956654558
STU723,Lakshit Chandran,Student Section,SE,bgoswami@example.org,5600650612
STU957,Sanya Hora,Student Section,TE,tristan38@example.org,+914053549835
STU761,Vansha Borra,Student Section,FE,jatinmani@example.net,02510957618
STU780,Ayush Tandon,Student Section,BE,vrittishere@example.org,+915099209097
STU462,Darpan Babu,Student Section,TE,uppalkaran@example.org,+910597328106
STU134,Ekanta Sarraf,Student Section,SE,kabir91@example.com,+910077967945
STU864,Triveni Murty,Student Section,TE,nachiket25@example.net,2364924794
STU624,Nikita Seth,Student Section,FE,hbuch@example.net,04350840675
STU694,Kabir Varghese,Student Section,BE,damyantitandon@example.com,09497073539
STU604,Anusha De,Student Section,BE,raveljacob@example.net,3149239564
STU682,Brinda Sant,Student Section,FE,sunderharish@example.com,1782839364
STU357,Bimala Tiwari,Student Section,FE,jasonbhardwaj@example.com,6637607459
STU616,Hredhaan Grewal,Student Section,FE,hgera@example.net,+910518980525
STU215,Hemani Das,Student Section,TE,indrajit37@example.com,+918492033527
STU558,Suhani Jaggi,Student Section,SE,aarna85@example.com,+917014532941
STU379,Tarak Kaul,Student Section,BE,anandayushman@example.org,+917722600268
STU659,Aradhana Ahuja,Student Section,FE,muniforum@example.net,3687287361
STU921,Gaurav Bhagat,Student Section,SE,pinglemugdha@example.net,+919680284480
STU793,Yauvani Kurian,Student Section,BE,azad62@example.net,03543429570
STU319,Mohini Saxena,Student Section,FE,warhi23@example.net,09197860132
STU860,Riya Dubey,Student Section,TE,wsrinivas@example.org,01278073519
STU933,Luke Gole,Student Section,TE,pandeyanita@example.org,+915144552018
STU910,Nirja Sekhon,Student Section,BE,chandrankaur@example.net,00890419681
STU427,Dev Hegde,Student Section,BE,vyanjanaamble@example.net,0225176547
STU883,Priya Mohan,Student Section,BE,owenkala@example.net,0597893432
STU488,Advik Borra,Student Section,SE,krishnamurthybakhshi@example.com,1310183386
STU728,Idika Biswas,Student Section,BE,bhardwajchatura@example.com,7176805595
STU797,Bhavini Kohli,Student Section,FE,idalal@example.org,+917465532769
STU360,Devika Chanda,Student Section,SE,nbarad@example.com,03243799245
