Roll_No,Student_Name,Department,Year,Email,Phone
TRA644,Edhitha Barad,Training & Placement Cell,TE,sachartamanna@example.org,+917868865990
TRA259,Gaurav Pal,Training & Placement Cell,TE,diptachauhan@example.com,+917335136782
TRA439,Yachana Seth,Training & Placement Cell,SE,yamini14@example.com,+916348139737
TRA319,Farhan Kalita,Training & Placement Cell,TE,ekapadcherian@example.net,+913359398282
TRA905,Harshil Deshmukh,Training & Placement Cell,SE,virajgaba@example.org,1573000941
TRA893,Daniel Gole,Training & Placement Cell,FE,dhillonneelima@example.com,07558111969
TRA714,Isha Raval,Training & Placement Cell,FE,ghoshsara@example.com,6802772316
TRA827,Adya Gera,Training & Placement Cell,TE,tanvi88@example.org,02964481153
TRA457,Devansh Kashyap,Training & Placement Cell,FE,saitandon@example.org,07852963301
TRA630,Hiral Upadhyay,Training & Placement Cell,TE,bhavinichand@example.com,+915564102827
